INT	STRING	STRING	STRING	STRING	STRING	INT
编号	问题描述	选项1	选项2	选项3	选项4	答案
123720	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	存取物品	领取双倍时间	回复生命	领取帮会任务	3
123721	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	了解帮会战	给装备升星	学习生活技能	兑换银票	1
123722	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	对别帮宣战（帮主）	对别国宣战（国王）	装备打孔	回复骑乘生命	2
123723	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备铭刻	转换职业	叛国	完成帮会任务	4
123724	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备镶嵌	参加屠城战	参加战车押运	学习印度珠宝术	2
123727	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	换取装备	获取声望	升级师傅称号	制作护身符	1
123728	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	学习蒙古驯马术	装备保值	天赋升级	买药品	4
123729	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	参加天降宝箱活动	加入帮会	购买防具	冻结双倍时间	3
123730	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备鎏金	买武器	买常乐草配方	完成内政任务	2
123732	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	领取双倍时间	紫装回炉	提升采集矿石技能	完成好友任务	1
126017	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	存取物品	领取双倍时间	回复生命	领取帮会任务	3
126018	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	了解帮会战	给装备升星	学习生活技能	兑换银票	1
126019	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	对别帮宣战（帮主）	对别国宣战（国王）	装备打孔	回复骑乘生命	2
126020	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备铭刻	转换职业	叛国	完成帮会任务	4
