INT	INT	STRING	STRING	STRING	STRING	STRING	INT
编号	类型	问题描述	选项1	选项2	选项3	选项4	答案
0	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G<<西游记>>中的火焰山是今天的哪里？	吐鲁番盆地  	日本北海道	山东蓬莱	非洲刚果河流域	1
1	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G美味的哈密瓜产自哪里？	新疆	黑龙江	广东	云南	1
2	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G不会游泳的人在死海里：	沉入水中	会浮在水面上  	学会游泳	大喊救命	2
3	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《成吉思汗》中的大都是哪？	北京	南京	上海	广州	1
4	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G北京到杭州的京杭大运河所在国？	中国	日本	朝鲜	印度	1
5	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“山外青山楼外楼”在原诗《题临安邸》中的下句是：	梦里犹现桃花面	西出阳关无故人	疑是银河落九天	西湖歌舞几时休 	4
6	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G一公斤铁和一公斤棉花哪一个轻？ 	铁	棉花	一样重	不知道	3
7	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G孔子是哪国人？	中国	韩国	日本	印度	1
8	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G我国哪个自治区是蒙古族自治区？	内蒙古	宁夏	青海	新疆	1
9	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G向日葵的种子是什么？	番薯	马铃薯	葵花籽	豆角	3
10	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“三过家门而不入”是哪一历史人物的故事？ 	尧	舜	禹  	启	3
11	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《三国演义》中的“凤雏”是谁？	徐庶	郭嘉	诸葛亮	庞统 	4
12	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《三国演义》中的“卧龙”是谁？	徐庶	郭嘉	诸葛亮	庞统 	3
13	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“藕”是莲的：	茎  	叶	根	果实	1
14	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G马头琴是我国哪一民族的拉弦乐器？	汉族	蒙古族 	回族	满族	2
15	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“皇帝”作为国家元首的正式称号，始于：	周幽王	汉高祖	秦始皇	项羽	3
16	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“人生自古谁无死，留取丹心照汗青”的作者是：	苏轼	童贯	蔡京	文天祥 	4
17	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G甲骨文是写在哪上面的？	纸上	龟骨	丝绸	竹片	2
18	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“吸血鬼”的传说起源于一种动物，它是：	蚊子	苍蝇	壁虎	蝙蝠  	4
19	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“身无彩凤双飞翼”下一诗句是什么？	西出阳关无故人	疑是银河落九天	西湖歌舞几时休 	心有灵犀一点通	4
20	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G人在不饥渴时也需要的是什么水？	可乐	汽水	矿泉水	薪水	4
21	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G我国的国球是什么？	乒乓球	网球	足球	篮球	1
22	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G哪条河被称为华夏民族的母亲河？	黄河	海河	长江	珠江	1
23	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《红楼梦》的作者是？	老舍	冰心	鲁迅	曹雪芹	4
24	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G2009年是新中国多少年大庆？	40	50	60	100	3
25	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G吸烟有害人体建康，那么吸烟对人体的哪个器官伤害最大？	心脏	脾脏	肝脏 	肺	4
26	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G薄公英靠什么传播种子？	水流	风力	埋进土里	寄生	2
27	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G下面哪种真正是“鱼”？	草鱼	鳄鱼	章鱼	娃娃鱼	1
28	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G美国的货币是什么？	美元	英镑	法郎	马克	1
29	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G澳大利亚所在的大洲？	亚洲	欧洲	大洋洲	北美洲	3
